@party_of_progress_and_socialism@	-organization=31
@quorn@	-location=54 -organization=25
@mark_kozelek@	-person=97
@chariton@	-location=27 -person=18
@humphrey_moseley@	-person=59
@okonek@	-location=31
@seattle_children's@	-location=23
@guantánamo_bay@	-location=231 -event=3
@jon_lester@	-person=70
@mohan@	-person=92 -location=3
@qaleh-ye_khvajeh_rural_district@	-location=99
@the_wayward_wind@	-art=22
@quest_for_fire@	-art=30 -person=3
@jusuf_kalla@	-person=59
@october_22@	-time=249 -art=1
@northwood_high_school@	-organization=26 -location=2
@picasso@	-person=227 -art=3 -location=2 -product=1 -living_thing=1
@flyers@	-organization=60 -title=1
@yale_law_journal@	-art=179
@frederick_i_of_württemberg@	-person=45
@essex@	-location=6681 -organization=1322 -product=72 -person=20 -title=7 -event=2 -language=1
@joe_zawinul@	-person=274
@royal_canadian_institute@	-organization=24
@mahendra@	-person=38 -location=1
@dg@	-organization=29 -product=12 -title=3 -chemistry=1
@columbia_valley_ava@	-location=24
@american_fork@	-location=52 -organization=2
@national_union_of_mineworkers@	-organization=152
@sandwich@	-location=181 -food=73 -person=41 -art=12 -product=5 -organization=3 -event=2 -chemistry=2 -medicine-drug=1
@nuns_on_the_run@	-art=28
@dorsey_burnette@	-person=78
@fianarantsoa@	-location=82
@cutting_crew@	-person=84
@mitsou@	-person=26 -art=1
@ramón_calderón@	-person=24
@teenbeat_records@	-organization=40
@10_o'clock_live@	-broadcast_program=25
@knowlton@	-location=30 -person=2
@keystone@	-location=42 -organization=21 -metropolitan_transit-transit_line=3 -art=1 -person=1
@accused@	-broadcast_program=38 -person=3 -art=2 -event=2
@potters_bar@	-location=121 -event=2
@paris_peace_treaties@	-event=29
@strong_enough@	-art=34
@malaysian_highway_authority@	-organization=30
@child's_play@	-art=85 -organization=36 -broadcast_program=25 -person=4
@college_of_american_pathologists@	-organization=28
@ndr_radiophilharmonie@	-person=25 -organization=1
@anderson,_alan_orr@	-person=131
@freddie@	-broadcast_program=29 -person=21 -organization=1
@latin_american_idol@	-broadcast_program=31
@acrolepiidae@	-living_thing=112
@the_national_theatre@	-organization=52 -location=7
@janet-laine_green@	-person=27
@kristen_maloney@	-person=21
@crush_40@	-person=46 -art=1
@mikhail_katkov@	-person=29
@dan_bus_company@	-organization=26
@excelsior@	-location=42 -organization=22 -art=13 -product=3
@nowy_dwór@	-location=36 -organization=1
@mallaig@	-location=110
@slik@	-person=30 -art=2
@avan_ivan@	-art=22
@black_hawk_county@	-location=73
@sand@	-visual_art-color=45 -location=16 -person=6 -art=5 -product=1
@broad_run@	-location=15 -organization=5
@eleanor_of_navarre@	-person=25
@géry@	-person=88 -location=1
@tobu_isesaki_line@	-metropolitan_transit-transit_line=64 -organization=1
@gamay@	-food=81 -location=4
@zwolle@	-location=467 -organization=3
@jayson_nix@	-person=29
@vanidades@	-art=22
